"state","average_aqi"
"Kansas",122.50
"Texas",144.10
"Oregon",129.10
"Idaho",111.92
"Alaska",87.56
"Alabama",126.63
"Oklahoma",132.40
"North Carolina",138.61
"Colorado",99.50
"Mississippi",128.37
"Florida",135.33
"Virgin Islands",90.00
"Vermont",112.20
"Delaware",186.67
"Nevada",102.11
"Louisiana",142.43
"New York",156.12
"West Virginia",145.17
"South Carolina",137.77
"New Jersey",164.94
"New Mexico",135.88
"Hawaii",125.75
"Arkansas",127.33
"Missouri",149.59
"Connecticut",194.75
"South Dakota",92.63
"Iowa",124.00
"Indiana",150.22
"Massachusetts",173.00
"Rhode Island",175.00
"Ohio",170.33
"District Of Columbia",169.00
"Michigan",156.65
"Minnesota",135.20
"Pennsylvania",165.32
"Washington",112.46
"Wisconsin",151.06
"Montana",91.35
"Kentucky",142.29
"Arizona",133.14
"Illinois",148.74
"Virginia",117.49
"Maryland",174.47
"Puerto Rico",74.75
"Georgia",140.16
"Wyoming",91.47
"Utah",130.46
"New Hampshire",144.88
"North Dakota",100.73
"Nebraska",95.42
"Maine",142.82
"California",255.28
"Tennessee",144.60
